"political_interest","political_trust","read_newspapers","canvassed","education_level","age","ideology"
2,4,1,1,0,21,3
2,6,1,2,1,53,0
2,4,1,1,0,56,5
2,1,2,1,0,65,6
2,4,2,1,4,68,2
2,4,2,1,5,34,4
2,10,1,1,0,83,7
2,3,2,1,0,66,5
1,8,2,1,0,66,6
1,3,1,1,3,42,NA
2,2,2,1,3,58,5
3,5,1,2,4,24,5
2,3,2,2,2,78,4
2,5,1,1,4,45,6
0,5,2,1,0,93,10
2,5,2,1,1,34,5
1,3,1,1,2,23,10
2,4,1,1,3,27,5
2,0,2,2,4,36,0
2,3,1,1,4,40,5
2,0,2,1,5,44,5
2,1,2,2,3,51,5
1,3,1,2,4,65,4
0,0,1,2,2,64,5
2,6,1,2,3,55,2
2,2,1,2,1,57,0
3,2,2,1,4,27,7
2,2,2,1,4,35,4
1,0,1,1,4,66,4
2,6,2,1,4,62,6
3,3,2,1,4,56,7
0,0,1,1,0,67,5
2,2,2,1,4,49,7
2,6,2,1,4,43,5
3,2,1,2,4,59,2
1,1,2,1,4,80,7
2,3,1,1,3,36,7
3,7,2,2,0,71,NA
1,2,1,1,0,80,5
3,6,2,1,4,60,3
2,2,2,1,4,44,5
3,7,2,2,4,69,6
2,3,1,1,0,65,4
3,7,2,1,4,62,9
2,7,2,2,4,40,6
3,0,2,1,5,30,NA
1,5,1,1,0,19,NA
1,5,1,1,1,51,6
2,5,1,2,2,88,5
1,4,2,1,0,68,NA
2,5,2,1,0,82,NA
2,7,1,NA,4,45,7
2,6,2,1,3,64,2
2,4,2,1,5,60,5
0,2,1,1,2,47,5
0,2,1,1,2,60,5
1,5,1,NA,4,53,6
2,3,2,1,5,51,3
0,10,1,1,0,34,NA
2,0,2,1,0,34,NA
2,8,1,2,2,38,8
2,5,2,1,5,44,5
2,4,1,1,2,20,7
2,4,2,1,4,21,NA
2,4,2,1,0,75,5
2,4,2,2,5,42,5
2,5,1,1,3,68,5
1,4,2,1,4,62,4
2,0,1,2,4,62,NA
1,5,2,1,0,NA,NA
2,8,1,1,0,78,10
2,3,2,1,0,54,2
2,0,1,1,2,55,NA
